simulation_id,geometry_type,geometry_parameters,thickness_h,length_Lx,length_Ly,k_low,k_high,boundary_condition_id,T_hot,T_air,measurement_wx,measurement_wy,electrode_min_gap,x_hot_electrode,y_hot_electrode,x_cold_electrode,y_cold_electrode,T_hot_electrode_avg,T_cold_electrode_avg,delta_T_parallel,heat_flux_redirect_ratio,mesh_element_count,qc_pass,field_file
sim_rand_3b3454f4,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.37018169160459435, ""blur_sigma"": 2.1360588760975894}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00875,0.00525,0.00025,0.00975,349.9743740475641,348.0260437488356,1.9483302987284787,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_3b3454f4.h5
sim_rand_fb5ed76a,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.6455254486564471, ""blur_sigma"": 2.1039687664564024}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00725,0.00425,0.00775,0.00025,349.9861987041554,348.5849621529192,1.4012365512361953,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_fb5ed76a.h5
sim_rand_6652a15b,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.0005151526045624796, ""k_low"": 0.1996523537255874, ""k_high"": 268.8022363638347, ""volume_fraction_target"": 0.5143499879597282, ""blur_sigma"": 1.1929753390365583, ""T_hot"": 340.119497280993, ""T_air"": 306.20601197022, ""h_c"": 11.055005894331554, ""h_c_side"": 10.954600530527859}",0.0005151526045624,0.01,0.01,0.1996523537255874,268.8022363638347,BC-001-TOP-ELECTRODE,340.119497280993,306.20601197022,0.0005,0.0005,0.0005,0.00275,0.00325,0.00025,0.00025,340.1138092166406,339.32841926386857,0.78538995277205,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_6652a15b.h5
sim_rand_7803bd3a,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.0008327729447346845, ""k_low"": 0.7572151322821634, ""k_high"": 109.42966476737627, ""volume_fraction_target"": 0.5590815201139708, ""blur_sigma"": [14.983830836748773, 14.983830836748773, 0.7948445259514916], ""T_hot"": 326.8237476281132, ""T_air"": 308.74422299546126, ""h_c"": 5.769849312364221, ""h_c_side"": 16.826157806698376}",0.0008327729447346,0.01,0.01,0.7572151322821634,109.42966476737628,BC-001-TOP-ELECTRODE,326.8237476281132,308.74422299546126,0.0005,0.0005,0.0005,0.00625,0.00425,0.00725,0.00975,326.7626707359636,326.7000225642568,0.062648171706769,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_7803bd3a.h5
sim_rand_6799d5da,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.0017559868016972392, ""k_low"": 0.5124914870577313, ""k_high"": 384.6073717150288, ""volume_fraction_target"": 0.4083158218817299, ""blur_sigma"": [11.444486985185854, 11.444486985185854, 0.9776961297491552], ""T_hot"": 346.2117032796817, ""T_air"": 298.76582278187277, ""h_c"": 17.062774376209234, ""h_c_side"": 9.249282991974718}",0.0017559868016972,0.01,0.01,0.5124914870577313,384.6073717150288,BC-001-TOP-ELECTRODE,346.2117032796817,298.76582278187277,0.0005,0.0005,0.0005,0.00325,0.00125,0.00975,0.00025,345.1917712038036,343.9495911857741,1.2421800180295008,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_6799d5da.h5
sim_rand_02b36741,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.0011457475296634285, ""k_low"": 0.6341903814129356, ""k_high"": 288.91772603852684, ""volume_fraction_target"": 0.6312418859049953, ""blur_sigma"": 2.9372428711886074, ""T_hot"": 348.82752661454214, ""T_air"": 296.405838234116, ""h_c"": 20.601551145886397, ""h_c_side"": 20.891641765267867}",0.0011457475296634,0.01,0.01,0.6341903814129356,288.91772603852684,BC-001-TOP-ELECTRODE,348.82752661454214,296.405838234116,0.0005,0.0005,0.0005,0.00675,0.00575,0.00025,0.00025,348.821529941144,346.56372862793876,2.2578013132052206,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_02b36741.h5
sim_rand_7afe0bd0,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.001899916760146831, ""k_low"": 0.9433387638086881, ""k_high"": 136.59129651793808, ""volume_fraction_target"": 0.6048819895662882, ""blur_sigma"": [11.250710500160093, 1.194591588947982, 11.250710500160093], ""T_hot"": 334.43559660123975, ""T_air"": 299.5108416179892, ""h_c"": 19.83598387267634, ""h_c_side"": 6.9974275973441}",0.0018999167601468,0.01,0.01,0.943338763808688,136.59129651793808,BC-001-TOP-ELECTRODE,334.43559660123975,299.5108416179892,0.0005,0.0005,0.0005,0.00625,0.00125,0.00675,0.00575,334.4238594881426,333.68196945938485,0.7418900287577799,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_7afe0bd0.h5
sim_rand_40025a0a,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.0008485131924879817, ""k_low"": 0.5717232718203094, ""k_high"": 142.01124037328555, ""volume_fraction_target"": 0.42127835331631097, ""blur_sigma"": 2.6196983189831267, ""T_hot"": 355.1791585134208, ""T_air"": 295.0118465337741, ""h_c"": 16.067253971796667, ""h_c_side"": 23.324366204910632}",0.0008485131924879,0.01,0.01,0.5717232718203094,142.01124037328557,BC-001-TOP-ELECTRODE,355.1791585134208,295.0118465337741,0.0005,0.0005,0.0005,0.00875,0.00775,0.00025,0.00975,355.16489000689853,351.91067284734925,3.2542171595492846,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_40025a0a.h5
sim_rand_b417ae4b,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.0010156363441157484, ""k_low"": 0.49241249858057695, ""k_high"": 220.20155807653438, ""volume_fraction_target"": 0.7089423905277727, ""blur_sigma"": [13.74430295767667, 13.74430295767667, 1.0232544687056522], ""T_hot"": 371.43435702308113, ""T_air"": 291.78663885533797, ""h_c"": 19.19841970133615, ""h_c_side"": 8.927666129154556}",0.0010156363441157,0.01,0.01,0.4924124985805769,220.2015580765344,BC-001-TOP-ELECTRODE,371.43435702308113,291.78663885533797,0.0005,0.0005,0.0005,0.00125,0.00275,0.00975,0.00975,371.4259503497747,370.67012848896655,0.7558218608081688,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_b417ae4b.h5
sim_rand_a6dac450,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.0010070559819310926, ""k_low"": 0.26058863998853576, ""k_high"": 329.2381538273481, ""volume_fraction_target"": 0.2589972745110797, ""blur_sigma"": [2.9717582662372735, 2.9717582662372735, 11.542334500113585], ""T_hot"": 378.1674355386692, ""T_air"": 301.9946280490145, ""h_c"": 20.988048314238053, ""h_c_side"": 23.9877393010279}",0.001007055981931,0.01,0.01,0.2605886399885357,329.2381538273481,BC-001-TOP-ELECTRODE,378.1674355386692,301.9946280490145,0.0005,0.0005,0.0005,0.00225,0.00775,0.00025,0.00025,378.1604979429897,366.3913026308477,11.76919531214196,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_a6dac450.h5
